text,category
Laundry service delay at Engineering Block,hostel
Laundry service delay at Block B,hostel
Notice board is outdated at Block A,other
Light is not working in Boys Hostel,electrical
Router issue near Block D with no internet access,wifi
Furniture damaged in Sports Complex hostel room,hostel
Internet connection is unstable in Block A,wifi
Router issue near Student Center with no internet access,wifi
No water supply in Hostel 2 hostel block,plumbing
Canal or drainage complaint around Engineering Block,other
General maintenance request for Boys Hostel,other
Internet connection is unstable in Sports Complex,wifi
Pest problem found in Main Building room,hostel
General maintenance request for Block C,other
No water supply in Business Block hostel block,plumbing
Security guard missing at Block A gate,safety
Furniture arrangement problem in Lecture Hall 2,other
Main switch issue reported at Auditorium,electrical
Main switch issue reported at Sports Complex,electrical
Unable to connect to campus internet in Canteen,wifi
Hostel room cleanliness issue in Girls Hostel,hostel
CCTV not working at Canteen,safety
Water leakage in Block A washroom,plumbing
Water leakage in Workshop washroom,plumbing
Security concern reported near Auditorium,safety
Water leakage in Block B washroom,plumbing
Short circuit smell near Boys Hostel,electrical
General maintenance request for Business Block,other
Fire extinguisher missing in Girls Hostel block,safety
General maintenance request for Girls Hostel,other
Water leakage in Girls Hostel washroom,plumbing
Room maintenance issue reported in Sports Complex,hostel
Furniture arrangement problem in Administrative Block,other
Pest problem found in Computer Lab room,hostel
Washroom flooding in Reading Room area,plumbing
Library book request issue from Parking Area,other
Router issue near Business Block with no internet access,wifi
Poor lighting and unsafe path near Lecture Hall 1,safety
Security concern reported near Block C,safety
Campus signage missing near Reading Room,other
General service request from Hostel 2,other
General service request from Workshop,other
Internet connection is unstable in Workshop,wifi
Fan stopped working in Hostel 2 room,electrical
Notice board is outdated at Administrative Block,other
No network connectivity in Block B hostel room,wifi
Socket is damaged near Block D,electrical
Water is leaking from the ceiling in Student Center,plumbing
AC is not cooling in Boys Hostel,electrical
Washroom flooding in Laboratory area,plumbing
Electrical spark seen near Reading Room,electrical
Light is not working in Library,electrical
Furniture arrangement problem in Medical Center,other
